,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,title
718,0.554,0.824,1,-3.295,1,0.0419,0.145,0.0,0.0964,0.235,128.045,audio_features,3YqKe8g3NEZ1fqj4kYzta6,spotify:track:3YqKe8g3NEZ1fqj4kYzta6,https://api.spotify.com/v1/tracks/3YqKe8g3NEZ1fqj4kYzta6,https://api.spotify.com/v1/audio-analysis/3YqKe8g3NEZ1fqj4kYzta6,213972,4,progressivehouse,Shine
719,0.586,0.694,0,-5.31,1,0.0463,0.154,0.0,0.664,0.367,128.047,audio_features,3K6RK3QOgMJKJ7BS3vwlcL,spotify:track:3K6RK3QOgMJKJ7BS3vwlcL,https://api.spotify.com/v1/tracks/3K6RK3QOgMJKJ7BS3vwlcL,https://api.spotify.com/v1/audio-analysis/3K6RK3QOgMJKJ7BS3vwlcL,154219,4,progressivehouse,Should've Been Love
720,0.548,0.921,6,-2.353,1,0.0889,0.0469,0.06,0.124,0.421,127.997,audio_features,7K6xPW0Q8NkIrhr6RMozQI,spotify:track:7K6xPW0Q8NkIrhr6RMozQI,https://api.spotify.com/v1/tracks/7K6xPW0Q8NkIrhr6RMozQI,https://api.spotify.com/v1/audio-analysis/7K6xPW0Q8NkIrhr6RMozQI,190312,4,progressivehouse,Show You Again
721,0.501,0.528,7,-7.047,1,0.0355,0.0957,0.0,0.606,0.514,127.894,audio_features,5yOx7ydgS0NITSkU7qgizx,spotify:track:5yOx7ydgS0NITSkU7qgizx,https://api.spotify.com/v1/tracks/5yOx7ydgS0NITSkU7qgizx,https://api.spotify.com/v1/audio-analysis/5yOx7ydgS0NITSkU7qgizx,195000,4,progressivehouse,Silence
722,0.561,0.709,1,-8.228,1,0.0311,0.00793,0.068,0.086,0.083,127.982,audio_features,6LXAbfmoSXubDpsOYjwJra,spotify:track:6LXAbfmoSXubDpsOYjwJra,https://api.spotify.com/v1/tracks/6LXAbfmoSXubDpsOYjwJra,https://api.spotify.com/v1/audio-analysis/6LXAbfmoSXubDpsOYjwJra,373125,4,progressivehouse,Silenced By The Night - Alesso Remix
723,0.643,0.718,9,-5.654,1,0.0527,0.0376,0.00022,0.101,0.0698,128.038,audio_features,6GfrKE1gMyiNi3bIaGLy1k,spotify:track:6GfrKE1gMyiNi3bIaGLy1k,https://api.spotify.com/v1/tracks/6GfrKE1gMyiNi3bIaGLy1k,https://api.spotify.com/v1/audio-analysis/6GfrKE1gMyiNi3bIaGLy1k,308976,4,progressivehouse,Silent - Original Mix
724,0.605,0.8,5,-6.235,0,0.0545,0.155,0.0562,0.121,0.836,128.074,audio_features,06h3McKzmxS8Bx58USHiMq,spotify:track:06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/tracks/06h3McKzmxS8Bx58USHiMq,https://api.spotify.com/v1/audio-analysis/06h3McKzmxS8Bx58USHiMq,211880,4,progressivehouse,Silhouettes - Original Radio Edit
725,0.629,0.866,3,-4.332,1,0.0547,0.00329,9.72e-06,0.361,0.101,130.055,audio_features,0eJxI8Jo4gj0SehxFiXmIp,spotify:track:0eJxI8Jo4gj0SehxFiXmIp,https://api.spotify.com/v1/tracks/0eJxI8Jo4gj0SehxFiXmIp,https://api.spotify.com/v1/audio-analysis/0eJxI8Jo4gj0SehxFiXmIp,195712,4,progressivehouse,The Silmarillia
726,0.589,0.776,7,-3.079,1,0.0486,0.0786,0.0,0.287,0.381,128.054,audio_features,3oDRpicarJlfPNUQ4x5XaY,spotify:track:3oDRpicarJlfPNUQ4x5XaY,https://api.spotify.com/v1/tracks/3oDRpicarJlfPNUQ4x5XaY,https://api.spotify.com/v1/audio-analysis/3oDRpicarJlfPNUQ4x5XaY,199413,4,progressivehouse,Siren (feat. Pia Toscano)
727,0.512,0.848,6,-4.417,0,0.0464,0.00391,2.61e-05,0.137,0.127,128.007,audio_features,6v9vj4QPqof3MVVY2aMdT7,spotify:track:6v9vj4QPqof3MVVY2aMdT7,https://api.spotify.com/v1/tracks/6v9vj4QPqof3MVVY2aMdT7,https://api.spotify.com/v1/audio-analysis/6v9vj4QPqof3MVVY2aMdT7,153805,4,progressivehouse,Skyline
